season,league,team,player,nationality,position,age,minutes,minutes_90s,goals,assists,goals_assists,goals_per90,assists_per90,goals_assists_per90,xg,xg_assist,npxg,shots,shots_on_target
2018-2019,Premier League,Tottenham,Georges-Kévin N'Koudou,CMR,FW,23.0,5.0,0.1,0.0,1.0,1.0,0.0,18.0,18.0,0.0,0.5,0.0,0.0,0.0
2018-2019,La Liga,Villarreal,Nicola Sansone,ITA,"FW,MF",26.0,37.0,0.4,1.0,1.0,2.0,2.43,2.43,4.86,0.0,0.0,0.0,1.0,1.0
2018-2019,La Liga,Atlético Madrid,Borja Garcés,ESP,FW,18.0,20.0,0.2,1.0,0.0,1.0,4.5,0.0,4.5,0.5,0.0,0.5,3.0,1.0
2018-2019,Ligue 1,Saint-Étienne,Makhtar Gueye,SEN,"FW,MF",20.0,50.0,0.6,1.0,1.0,2.0,1.8,1.8,3.6,0.2,0.4,0.2,2.0,1.0
2018-2019,Bundesliga,Hannover 96,Benjamin Hadžić,BIH,"FW,MF",19.0,25.0,0.3,0.0,1.0,1.0,0.0,3.6,3.6,0.0,0.0,0.0,0.0,0.0
2018-2019,Ligue 1,Saint-Étienne,Lamine Ghezali,FRA,"FW,MF",19.0,44.0,0.5,1.0,0.0,1.0,2.05,0.0,2.05,0.3,0.0,0.3,1.0,1.0
2018-2019,La Liga,Atlético Madrid,Sergio Camello,ESP,FW,17.0,45.0,0.5,1.0,0.0,1.0,2.0,0.0,2.0,0.8,0.0,0.8,3.0,1.0
2018-2019,Ligue 1,Montpellier,Souleymane Camara,SEN,"FW,MF",35.0,137.0,1.5,3.0,0.0,3.0,1.97,0.0,1.97,0.9,0.2,0.9,9.0,6.0
2018-2019,Ligue 1,Paris S-G,Timothy Weah,USA,FW,18.0,54.0,0.6,1.0,0.0,1.0,1.67,0.0,1.67,1.0,0.1,1.0,2.0,2.0
2018-2019,La Liga,Barcelona,Lionel Messi,ARG,FW,31.0,2713.0,30.1,36.0,13.0,49.0,1.19,0.43,1.63,23.8,14.4,19.9,165.0,82.0
2018-2019,Ligue 1,Paris S-G,Kylian Mbappé,FRA,FW,19.0,2343.0,26.0,33.0,7.0,40.0,1.27,0.27,1.54,28.0,5.4,26.4,123.0,68.0
2018-2019,La Liga,Sevilla,Luis Muriel,COL,"MF,FW",27.0,123.0,1.4,1.0,1.0,2.0,0.73,0.73,1.46,0.2,0.1,0.2,4.0,1.0
2018-2019,Ligue 1,Paris S-G,Neymar,BRA,"MF,FW",26.0,1439.0,16.0,15.0,7.0,22.0,0.94,0.44,1.38,11.0,6.9,7.1,49.0,20.0
2018-2019,Bundesliga,Dortmund,Paco Alcácer,ESP,FW,24.0,1211.0,13.5,18.0,0.0,18.0,1.34,0.0,1.34,9.5,1.6,8.8,51.0,26.0
2018-2019,Premier League,Arsenal,Eddie Nketiah,ENG,"MF,FW",19.0,67.0,0.7,1.0,0.0,1.0,1.34,0.0,1.34,0.2,0.1,0.2,3.0,1.0
2018-2019,Premier League,Crystal Palace,Connor Wickham,ENG,"FW,MF",25.0,67.0,0.7,0.0,1.0,1.0,0.0,1.34,1.34,0.4,0.3,0.4,5.0,1.0
2018-2019,Premier League,Southampton,Michael Obafemi,IRL,FW,18.0,137.0,1.5,1.0,1.0,2.0,0.66,0.66,1.31,1.7,0.4,1.7,7.0,3.0
2018-2019,Ligue 1,Paris S-G,Edinson Cavani,URU,FW,31.0,1671.0,18.6,18.0,5.0,23.0,0.97,0.27,1.24,14.5,3.6,10.6,47.0,17.0
2018-2019,Ligue 1,Marseille,Clinton N'Jie,CMR,FW,24.0,364.0,4.0,3.0,2.0,5.0,0.74,0.49,1.24,1.0,0.9,1.0,7.0,5.0
